Date,cum_profit
2017-08-14,0.0
2017-08-15,0.0
2017-08-16,0.0
2017-08-17,0.0
2017-08-18,0.0
2017-08-21,0.0
2017-08-22,22.5
2017-08-23,22.5
2017-08-24,22.5
2017-08-25,22.5
2017-08-28,22.5
2017-08-29,29.830000000000382
2017-08-30,29.830000000000382
2017-08-31,29.830000000000382
2017-09-01,29.830000000000382
2017-09-04,29.830000000000382
2017-09-05,29.830000000000382
2017-09-06,29.830000000000382
2017-09-07,29.830000000000382
2017-09-08,29.830000000000382
2017-09-11,60.0900000000006
2017-09-12,60.0900000000006
2017-09-13,60.0900000000006
2017-09-14,60.0900000000006
2017-09-15,60.0900000000006
2017-09-18,60.0900000000006
2017-09-19,60.0900000000006
2017-09-20,60.0900000000006
2017-09-21,60.0900000000006
2017-09-22,60.0900000000006
2017-09-25,60.0900000000006
2017-09-26,60.0900000000006
2017-09-27,66.53000000000065
2017-09-28,66.53000000000065
2017-09-29,66.53000000000065
2017-10-02,66.53000000000065
2017-10-03,66.53000000000065
2017-10-04,66.53000000000065
2017-10-05,66.53000000000065
2017-10-06,66.53000000000065
2017-10-09,66.53000000000065
2017-10-10,72.44000000000051
2017-10-11,72.44000000000051
2017-10-12,72.44000000000051
2017-10-13,72.44000000000051
2017-10-16,79.15000000000055
2017-10-17,79.15000000000055
2017-10-18,79.15000000000055
2017-10-19,79.15000000000055
2017-10-20,79.15000000000055
2017-10-23,79.15000000000055
2017-10-24,83.30000000000064
2017-10-25,83.30000000000064
2017-10-26,83.30000000000064
2017-10-27,107.22000000000071
2017-10-30,107.22000000000071
2017-10-31,107.22000000000071
2017-11-01,107.22000000000071
2017-11-02,107.22000000000071
2017-11-03,115.21000000000095
2017-11-06,115.21000000000095
2017-11-07,115.21000000000095
2017-11-08,115.21000000000095
2017-11-09,115.21000000000095
2017-11-10,115.21000000000095
2017-11-13,115.21000000000095
2017-11-14,115.21000000000095
2017-11-15,115.21000000000095
2017-11-16,116.23000000000093
2017-11-17,116.23000000000093
2017-11-20,119.52000000000089
2017-11-21,119.52000000000089
2017-11-22,119.52000000000089
2017-11-23,119.52000000000089
2017-11-24,119.52000000000089
2017-11-27,119.52000000000089
2017-11-28,145.14000000000078
2017-11-29,145.14000000000078
2017-11-30,145.14000000000078
2017-12-01,145.14000000000078
2017-12-04,145.14000000000078
2017-12-05,145.14000000000078
2017-12-06,145.14000000000078
2017-12-07,145.14000000000078
2017-12-08,167.07000000000062
2017-12-11,167.07000000000062
2017-12-12,167.07000000000062
2017-12-13,167.07000000000062
2017-12-14,167.07000000000062
2017-12-15,190.87000000000035
2017-12-18,190.87000000000035
2017-12-19,190.87000000000035
2017-12-20,190.87000000000035
2017-12-21,190.87000000000035
2017-12-22,190.87000000000035
2017-12-25,190.87000000000035
2017-12-26,190.87000000000035
2017-12-27,190.87000000000035
2017-12-28,195.07000000000016
2017-12-29,195.07000000000016
2018-01-01,217.26999999999998
2018-01-02,217.26999999999998
2018-01-03,217.26999999999998
2018-01-04,217.26999999999998
2018-01-05,217.26999999999998
2018-01-08,217.26999999999998
2018-01-09,217.26999999999998
2018-01-10,217.26999999999998
2018-01-11,217.26999999999998
2018-01-12,217.26999999999998
2018-01-15,217.26999999999998
2018-01-16,217.26999999999998
2018-01-17,217.26999999999998
2018-01-18,217.26999999999998
2018-01-19,217.26999999999998
2018-01-22,217.26999999999998
2018-01-23,217.26999999999998
2018-01-24,217.26999999999998
2018-01-25,217.26999999999998
2018-01-26,217.26999999999998
2018-01-29,217.26999999999998
2018-01-30,217.26999999999998
2018-01-31,217.26999999999998
2018-02-01,217.26999999999998
2018-02-02,217.26999999999998
2018-02-05,217.26999999999998
2018-02-06,217.26999999999998
2018-02-07,217.26999999999998
2018-02-08,217.26999999999998
2018-02-09,217.26999999999998
2018-02-12,50.840000000000146
2018-02-13,50.840000000000146
2018-02-14,50.840000000000146
2018-02-15,50.840000000000146
2018-02-16,50.840000000000146
2018-02-19,50.840000000000146
2018-02-20,50.840000000000146
2018-02-21,50.840000000000146
2018-02-22,50.840000000000146
2018-02-23,81.88000000000011
2018-02-26,81.88000000000011
2018-02-27,81.88000000000011
2018-02-28,81.88000000000011
2018-03-01,81.88000000000011
2018-03-02,81.88000000000011
2018-03-05,88.99000000000024
2018-03-06,88.99000000000024
2018-03-07,88.99000000000024
2018-03-08,88.99000000000024
2018-03-09,88.99000000000024
2018-03-12,88.99000000000024
2018-03-13,88.99000000000024
2018-03-14,88.99000000000024
2018-03-15,88.99000000000024
2018-03-16,88.99000000000024
2018-03-19,88.99000000000024
2018-03-20,88.99000000000024
2018-03-21,88.99000000000024
2018-03-22,88.99000000000024
2018-03-23,88.99000000000024
2018-03-26,88.99000000000024
2018-03-27,88.99000000000024
2018-03-28,88.99000000000024
2018-03-29,-19.61999999999989
2018-03-30,-19.61999999999989
2018-04-02,-19.61999999999989
2018-04-03,12.949999999999818
2018-04-04,12.949999999999818
2018-04-05,12.949999999999818
2018-04-06,12.949999999999818
2018-04-09,12.949999999999818
2018-04-10,65.34999999999991
2018-04-11,65.34999999999991
2018-04-12,65.34999999999991
2018-04-13,65.34999999999991
2018-04-16,65.34999999999991
2018-04-17,65.34999999999991
2018-04-18,65.34999999999991
2018-04-19,65.34999999999991
2018-04-20,65.34999999999991
2018-04-23,65.34999999999991
2018-04-24,65.34999999999991
2018-04-25,65.34999999999991
2018-04-26,62.15000000000009
2018-04-27,62.15000000000009
2018-04-30,62.15000000000009
2018-05-01,62.15000000000009
2018-05-02,62.15000000000009
