company,symbol,weight,price,%_change
Viacom Inc. Class B,VIAB,0.034296,23.97,(-0.33%)
Juniper Networks Inc.,JNPR,0.034205,24.87,-0.48%
National Oilwell Varco Inc.,NOV,0.034104,22.04,(-0.14%)
Franklin Resources Inc.,BEN,0.034086,28.63,-0.81%
HollyFrontier Corporation,HFC,0.0339,53.58,-0.13%
F5 Networks Inc.,FFIV,0.0338,139.71,(-0.02%)
DISH Network Corporation Class A,DISH,0.03311,34.01,-0.01%
Interpublic Group of Companies Inc.,IPG,0.032649,21.41,-2.34%
Zions Bancorporation N.A.,ZION,0.032433,44.36,-0.91%
ABIOMED Inc.,ABMD,0.032267,175.98,(-0.94%)
Alaska Air Group Inc.,ALK,0.032151,64.18,(-0.60%)
Kohl's Corporation,KSS,0.032142,49.64,-0.96%
DXC Technology Co.,DXC,0.031934,29.78,-0.57%
Campbell Soup Company,CPB,0.031873,46.87,-0.36%
Assurant Inc.,AIZ,0.031525,125.47,(-1.05%)
Apartment Investment and Management Company Class A,AIV,0.031379,51.82,(-0.61%)
Fortune Brands Home & Security Inc.,FBHS,0.030703,54.48,-0.33%
Mohawk Industries Inc.,MHK,0.030486,123.58,-1.70%
BorgWarner Inc.,BWA,0.030401,36.39,(-0.49%)
Nielsen Holdings Plc,NLSN,0.03028,21.05,(-1.41%)
Tapestry Inc.,TPR,0.029795,25.99,-1.88%
Perrigo Co. Plc,PRGO,0.029722,54.98,-1.87%
Cabot Oil & Gas Corporation,COG,0.029322,17.53,-2.10%
FLIR Systems Inc.,FLIR,0.02905,52.79,(-1.40%)
Albemarle Corporation,ALB,0.029004,68.14,-1.41%
Newell Brands Inc,NWL,0.028623,18.05,(-1.42%)
SL Green Realty Corp.,SLG,0.028297,81.79,-0.42%
Mosaic Company,MOS,0.02814,20.26,-1.55%
Invesco Ltd.,IVZ,0.027378,17.02,-0.95%
A. O. Smith Corporation,AOS,0.027211,47.66,-0.36%
Robert Half International Inc.,RHI,0.026722,54.62,(-0.64%)
PVH Corp.,PVH,0.026472,87.72,-1.08%
Sealed Air Corporation,SEE,0.025876,41.37,-0.95%
Unum Group,UNM,0.02542,29.6,-0.99%
Pentair plc,PNR,0.025337,37.66,-1.10%
People's United Financial Inc.,PBCT,0.025035,15.72,-0.16%
Xerox Holdings Corporation,XRX,0.0244,30.33,-0.63%
Flowserve Corporation,FLS,0.023948,46.84,-1.28%
Harley-Davidson Inc.,HOG,0.022603,35.71,-1.39%
Hanesbrands Inc.,HBI,0.022042,15.11,-0.47%
Quanta Services Inc.,PWR,0.022001,37.77,-0.40%
DaVita Inc.,DVA,0.021947,56.32,-0.57%
Leggett & Platt Incorporated,LEG,0.021366,40.92,-0.22%
Alliance Data Systems Corporation,ADS,0.021196,126.42,(-1.06%)
News Corporation Class A,NWSA,0.021121,13.86,(-0.50%)
Fox Corporation Class B,FOX,0.020353,31.48,-0.03%
Capri Holdings Limited,CPRI,0.020135,32.62,(-0.37%)
Rollins Inc.,ROL,0.019852,33.44,(-1.12%)
Ralph Lauren Corporation Class A,RL,0.019656,94.24,-1.19%
IPG Photonics Corporation,IPGP,0.019194,132.83,(-0.93%)
H&R Block Inc.,HRB,0.019147,23.33,(-1.31%)
Cimarex Energy Co.,XEC,0.019072,47.86,-2.44%
Macy's Inc,M,0.018993,15.29,-0.26%
Helmerich & Payne Inc.,HP,0.018296,40.57,(-1.22%)
L Brands Inc.,LB,0.017253,18.94,(-0.32%)
Affiliated Managers Group Inc.,AMG,0.017129,82.94,(-0.04%)
Discovery Inc. Class A,DISCA,0.016842,26.8,-1.28%
TripAdvisor Inc.,TRIP,0.015419,38.43,-1.43%
Gap Inc.,GPS,0.014799,17.1,-0.65%
Under Armour Inc. Class A,UAA,0.014559,19.58,(-1.06%)
Under Armour Inc. Class C,UA,0.014076,17.79,(-1.00%)
Macerich Company,MAC,0.01375,32.31,-0.22%
Nordstrom Inc.,JWN,0.013694,32.89,-2.17%
Coty Inc. Class A,COTY,0.012587,10.53,-1.64%
Nektar Therapeutics,NKTR,0.012059,17.9,-1.94%
News Corporation Class B,NWS,0.007099,14.17,(-0.42%)
