company,symbol,weight,price,%_change
Raytheon Company,RTN,0.22233,195.52,(-1.22%)
Allergan plc,AGN,0.221575,168.55,-0.99%
Target Corporation,TGT,0.220223,106.02,(-0.25%)
Prologis Inc.,PLD,0.219463,85.78,(-0.57%)
Micron Technology Inc.,MU,0.217499,43.1,(-11.32%)
Morgan Stanley,MS,0.216683,42.84,-0.52%
Intercontinental Exchange Inc.,ICE,0.214283,92.4,(-1.88%)
Deere & Company,DE,0.212654,166.26,-0.37%
BlackRock Inc.,BLK,0.212057,446.13,-0.03%
DuPont de Nemours Inc.,DD,0.211943,70.25,-0.21%
Marsh & McLennan Companies Inc.,MMC,0.206735,99.76,(-0.51%)
Ecolab Inc.,ECL,0.201053,197.79,(-0.32%)
Equinix Inc.,EQIX,0.200153,576.62,(-1.10%)
Air Products and Chemicals Inc.,APD,0.19822,221.06,(-1.00%)
Norfolk Southern Corporation,NSC,0.196216,180.87,(-1.15%)
American International Group Inc.,AIG,0.196138,56.16,-0.50%
Applied Materials Inc.,AMAT,0.19498,49.61,(-4.87%)
Kimberly-Clark Corporation,KMB,0.194814,142.06,-1.39%
Global Payments Inc.,GPN,0.19432,156.84,(-1.99%)
Simon Property Group Inc.,SPG,0.193434,157.96,-1.50%
Exelon Corporation,EXC,0.193139,48.58,(-1.22%)
L3Harris Technologies Inc,LHX,0.192688,208.92,(-2.02%)
Schlumberger NV,SLB,0.192615,34.33,(-0.61%)
Charles Schwab Corporation,SCHW,0.192542,41.68,-1.93%
General Motors Company,GM,0.191256,37.42,(-0.51%)
Phillips 66,PSX,0.189815,103.66,(-0.86%)
American Electric Power Company Inc.,AEP,0.187168,94.2,(-0.10%)
Edwards Lifesciences Corporation,EW,0.186849,217.29,(-1.94%)
Aon plc,AON,0.185889,193.47,(-0.65%)
Illinois Tool Works Inc.,ITW,0.185054,154.94,-0.45%
Sherwin-Williams Company,SHW,0.182202,544.28,(-0.74%)
Waste Management Inc.,WM,0.181843,113.59,(-1.30%)
Baxter International Inc.,BAX,0.181294,85.93,(-2.05%)
Progressive Corporation,PGR,0.180978,77.1,-0.09%
Illumina Inc.,ILMN,0.176644,301.28,-0.87%
General Dynamics Corporation,GD,0.176148,183.02,(-1.60%)
EOG Resources Inc.,EOG,0.175753,74.99,(-0.13%)
Vertex Pharmaceuticals Incorporated,VRTX,0.175655,166.74,(-1.66%)
Estee Lauder Companies Inc. Class A,EL,0.174903,196.33,-0.51%
Capital One Financial Corporation,COF,0.173097,91.34,-0.23%
Biogen Inc.,BIIB,0.171872,230.23,0.00%
Analog Devices Inc.,ADI,0.169203,111.05,(-1.85%)
Activision Blizzard Inc.,ATVI,0.167997,52.2,(-3.73%)
Dollar General Corporation,DG,0.166578,159.74,-0.15%
Walgreens Boots Alliance Inc,WBA,0.166058,54.42,-0.63%
BB&T Corporation,BBT,0.163916,53.46,-1.02%
Occidental Petroleum Corporation,OXY,0.163717,45.14,(-0.46%)
Sysco Corporation,SYY,0.163667,78.87,-0.09%
Marathon Petroleum Corporation,MPC,0.162997,62.25,-2.32%
Bank of New York Mellon Corporation,BK,0.161896,44.53,(-4.50%)
Kinder Morgan Inc Class P,KMI,0.160772,20.69,-0.83%
Ross Stores Inc.,ROST,0.160228,109.05,-1.11%
Sempra Energy,SRE,0.159617,144.48,(-0.17%)
Emerson Electric Co.,EMR,0.159219,66.4,-3.44%
Travelers Companies Inc.,TRV,0.156498,148,(-0.07%)
Aflac Incorporated,AFL,0.156486,51.89,(-0.04%)
